GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(PlayerName-1),OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(PlayerName-1),PlayerType(PlayerType-1),PlayerType(PlayerType-0),Winner(PlayerIdx)
346665430,SushiGo,3,GAME_OVER,61,0,2,2,BasicMCTS,47.0,49.0,BasicMCTS,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,BasicMCTS,0
879079583,SushiGo,3,GAME_OVER,61,0,2,3,BasicMCTS,60.0,45.0,BasicMCTS,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,BasicMCTS,1
-619666105,SushiGo,3,GAME_OVER,60,0,2,4,BasicMCTS,60.0,45.0,BasicMCTS,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,BasicMCTS,1
503938916,SushiGo,3,GAME_OVER,60,0,2,5,BasicMCTS,62.0,51.0,BasicMCTS,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,BasicMCTS,1
-428737539,SushiGo,3,GAME_OVER,60,0,2,6,BasicMCTS,57.0,46.0,BasicMCTS,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,BasicMCTS,1
-1745970416,SushiGo,3,GAME_OVER,61,0,2,7,BasicMCTS,65.0,40.0,BasicMCTS,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,BasicMCTS,1
-1436161366,SushiGo,3,GAME_OVER,63,0,2,8,BasicMCTS,50.0,45.0,BasicMCTS,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,BasicMCTS,1
-1151041315,SushiGo,3,GAME_OVER,62,0,2,9,BasicMCTS,62.0,44.0,BasicMCTS,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,BasicMCTS,1
697067980,SushiGo,3,GAME_OVER,62,0,2,10,BasicMCTS,58.0,44.0,BasicMCTS,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,BasicMCTS,1
1168140970,SushiGo,3,GAME_OVER,62,0,2,11,BasicMCTS,57.0,41.0,BasicMCTS,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,BasicMCTS,1
-1491060889,SushiGo,3,GAME_OVER,63,0,2,12,BasicMCTS,52.0,46.0,BasicMCTS,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,BasicMCTS,1
-1819802610,SushiGo,3,GAME_OVER,60,0,2,13,BasicMCTS,61.0,38.0,BasicMCTS,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,BasicMCTS,1
-2121274456,SushiGo,3,GAME_OVER,60,0,2,14,BasicMCTS,60.0,38.0,BasicMCTS,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,BasicMCTS,1
259280696,SushiGo,3,GAME_OVER,62,0,2,15,BasicMCTS,58.0,46.0,BasicMCTS,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,BasicMCTS,1
1706137030,SushiGo,3,GAME_OVER,62,0,2,16,BasicMCTS,64.0,48.0,BasicMCTS,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,BasicMCTS,1
545138396,SushiGo,3,GAME_OVER,60,0,2,17,BasicMCTS,64.0,49.0,BasicMCTS,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,BasicMCTS,1
1376458976,SushiGo,3,GAME_OVER,60,0,2,18,BasicMCTS,76.0,41.0,BasicMCTS,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,BasicMCTS,1
1195311045,SushiGo,3,GAME_OVER,64,0,2,19,BasicMCTS,55.0,44.0,BasicMCTS,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,BasicMCTS,1
813477029,SushiGo,3,GAME_OVER,62,0,2,20,BasicMCTS,58.0,45.0,BasicMCTS,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,BasicMCTS,1
-1466178614,SushiGo,3,GAME_OVER,62,0,2,21,BasicMCTS,51.0,47.0,BasicMCTS,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,BasicMCTS,1
-118322159,SushiGo,3,GAME_OVER,61,0,2,22,BasicMCTS,52.0,50.0,BasicMCTS,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,BasicMCTS,1
-1428166355,SushiGo,3,GAME_OVER,63,0,2,23,BasicMCTS,60.0,40.0,BasicMCTS,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,BasicMCTS,1
1144294523,SushiGo,3,GAME_OVER,62,0,2,24,BasicMCTS,52.0,41.0,BasicMCTS,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,BasicMCTS,1
2100098225,SushiGo,3,GAME_OVER,61,0,2,25,BasicMCTS,56.0,45.0,BasicMCTS,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,BasicMCTS,1
23994827,SushiGo,3,GAME_OVER,62,0,2,26,BasicMCTS,56.0,43.0,BasicMCTS,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,BasicMCTS,1
1662792176,SushiGo,3,GAME_OVER,61,0,2,27,BasicMCTS,63.0,55.0,BasicMCTS,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,BasicMCTS,1
2013120665,SushiGo,3,GAME_OVER,61,0,2,28,BasicMCTS,55.0,48.0,BasicMCTS,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,BasicMCTS,1
-1880183632,SushiGo,3,GAME_OVER,61,0,2,29,BasicMCTS,59.0,49.0,BasicMCTS,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,BasicMCTS,1
-1377239692,SushiGo,3,GAME_OVER,60,0,2,30,BasicMCTS,57.0,41.0,BasicMCTS,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,BasicMCTS,1
1795532617,SushiGo,3,GAME_OVER,64,0,2,31,BasicMCTS,59.0,36.0,BasicMCTS,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,BasicMCTS,1
-1548656463,SushiGo,3,GAME_OVER,62,0,2,32,BasicMCTS,66.0,38.0,BasicMCTS,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,BasicMCTS,1
-653656736,SushiGo,3,GAME_OVER,62,0,2,33,BasicMCTS,50.0,50.0,BasicMCTS,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,BasicMCTS,0
-400394132,SushiGo,3,GAME_OVER,61,0,2,34,BasicMCTS,50.0,40.0,BasicMCTS,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,BasicMCTS,1
-1422203009,SushiGo,3,GAME_OVER,60,0,2,35,BasicMCTS,60.0,51.0,BasicMCTS,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,BasicMCTS,1
-1113178468,SushiGo,3,GAME_OVER,62,0,2,36,BasicMCTS,54.0,51.0,BasicMCTS,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,BasicMCTS,1
-175367348,SushiGo,3,GAME_OVER,60,0,2,37,BasicMCTS,69.0,45.0,BasicMCTS,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,BasicMCTS,1
1362911089,SushiGo,3,GAME_OVER,61,0,2,38,BasicMCTS,53.0,51.0,BasicMCTS,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,BasicMCTS,1
-347120262,SushiGo,3,GAME_OVER,60,0,2,39,BasicMCTS,55.0,48.0,BasicMCTS,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,BasicMCTS,1
1416514647,SushiGo,3,GAME_OVER,62,0,2,40,BasicMCTS,67.0,46.0,BasicMCTS,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,BasicMCTS,1
-1570736736,SushiGo,3,GAME_OVER,61,0,2,41,BasicMCTS,66.0,49.0,BasicMCTS,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,BasicMCTS,1
-1532681659,SushiGo,3,GAME_OVER,60,0,2,42,BasicMCTS,78.0,50.0,BasicMCTS,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,BasicMCTS,1
2038358424,SushiGo,3,GAME_OVER,63,0,2,43,BasicMCTS,57.0,46.0,BasicMCTS,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,BasicMCTS,1
1950377550,SushiGo,3,GAME_OVER,63,0,2,44,BasicMCTS,59.0,48.0,BasicMCTS,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,BasicMCTS,1
-389679841,SushiGo,3,GAME_OVER,62,0,2,45,BasicMCTS,59.0,42.0,BasicMCTS,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,BasicMCTS,1
-1652369011,SushiGo,3,GAME_OVER,62,0,2,46,BasicMCTS,48.0,43.0,BasicMCTS,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,BasicMCTS,1
649728961,SushiGo,3,GAME_OVER,63,0,2,47,BasicMCTS,77.0,48.0,BasicMCTS,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,BasicMCTS,1
1939385821,SushiGo,3,GAME_OVER,61,0,2,48,BasicMCTS,60.0,54.0,BasicMCTS,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,BasicMCTS,1
-765151654,SushiGo,3,GAME_OVER,62,0,2,49,BasicMCTS,40.0,40.0,BasicMCTS,1,BasicMCTS,1,1,1,BasicMCTS,BasicMCTS,BasicMCTS,-1
-382843140,SushiGo,3,GAME_OVER,60,0,2,50,BasicMCTS,53.0,48.0,BasicMCTS,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,BasicMCTS,1
1616233144,SushiGo,3,GAME_OVER,60,0,2,51,BasicMCTS,59.0,47.0,BasicMCTS,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,BasicMCTS,1
346665430,SushiGo,3,GAME_OVER,60,0,2,52,BasicMCTS,38.0,55.0,BasicMCTS,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,BasicMCTS,0
879079583,SushiGo,3,GAME_OVER,60,0,2,53,BasicMCTS,47.0,60.0,BasicMCTS,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,BasicMCTS,0
-619666105,SushiGo,3,GAME_OVER,62,0,2,54,BasicMCTS,39.0,47.0,BasicMCTS,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,BasicMCTS,0
503938916,SushiGo,3,GAME_OVER,61,0,2,55,BasicMCTS,44.0,55.0,BasicMCTS,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,BasicMCTS,0
-428737539,SushiGo,3,GAME_OVER,62,0,2,56,BasicMCTS,47.0,71.0,BasicMCTS,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,BasicMCTS,0
-1745970416,SushiGo,3,GAME_OVER,61,0,2,57,BasicMCTS,50.0,47.0,BasicMCTS,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,BasicMCTS,1
-1436161366,SushiGo,3,GAME_OVER,62,0,2,58,BasicMCTS,49.0,53.0,BasicMCTS,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,BasicMCTS,0
-1151041315,SushiGo,3,GAME_OVER,61,0,2,59,BasicMCTS,51.0,56.0,BasicMCTS,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,BasicMCTS,0
697067980,SushiGo,3,GAME_OVER,62,0,2,60,BasicMCTS,47.0,55.0,BasicMCTS,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,BasicMCTS,0
1168140970,SushiGo,3,GAME_OVER,60,0,2,61,BasicMCTS,36.0,54.0,BasicMCTS,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,BasicMCTS,0
-1491060889,SushiGo,3,GAME_OVER,63,0,2,62,BasicMCTS,38.0,52.0,BasicMCTS,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,BasicMCTS,0
-1819802610,SushiGo,3,GAME_OVER,61,0,2,63,BasicMCTS,39.0,50.0,BasicMCTS,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,BasicMCTS,0
-2121274456,SushiGo,3,GAME_OVER,61,0,2,64,BasicMCTS,42.0,66.0,BasicMCTS,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,BasicMCTS,0
259280696,SushiGo,3,GAME_OVER,61,0,2,65,BasicMCTS,44.0,75.0,BasicMCTS,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,BasicMCTS,0
1706137030,SushiGo,3,GAME_OVER,61,0,2,66,BasicMCTS,51.0,57.0,BasicMCTS,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,BasicMCTS,0
545138396,SushiGo,3,GAME_OVER,60,0,2,67,BasicMCTS,53.0,65.0,BasicMCTS,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,BasicMCTS,0
1376458976,SushiGo,3,GAME_OVER,60,0,2,68,BasicMCTS,45.0,56.0,BasicMCTS,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,BasicMCTS,0
1195311045,SushiGo,3,GAME_OVER,61,0,2,69,BasicMCTS,39.0,62.0,BasicMCTS,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,BasicMCTS,0
813477029,SushiGo,3,GAME_OVER,62,0,2,70,BasicMCTS,50.0,57.0,BasicMCTS,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,BasicMCTS,0
-1466178614,SushiGo,3,GAME_OVER,62,0,2,71,BasicMCTS,45.0,49.0,BasicMCTS,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,BasicMCTS,0
-118322159,SushiGo,3,GAME_OVER,63,0,2,72,BasicMCTS,43.0,60.0,BasicMCTS,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,BasicMCTS,0
-1428166355,SushiGo,3,GAME_OVER,63,0,2,73,BasicMCTS,49.0,61.0,BasicMCTS,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,BasicMCTS,0
1144294523,SushiGo,3,GAME_OVER,63,0,2,74,BasicMCTS,42.0,52.0,BasicMCTS,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,BasicMCTS,0
2100098225,SushiGo,3,GAME_OVER,62,0,2,75,BasicMCTS,32.0,59.0,BasicMCTS,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,BasicMCTS,0
23994827,SushiGo,3,GAME_OVER,63,0,2,76,BasicMCTS,35.0,47.0,BasicMCTS,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,BasicMCTS,0
1662792176,SushiGo,3,GAME_OVER,60,0,2,77,BasicMCTS,47.0,57.0,BasicMCTS,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,BasicMCTS,0
2013120665,SushiGo,3,GAME_OVER,61,0,2,78,BasicMCTS,48.0,50.0,BasicMCTS,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,BasicMCTS,0
-1880183632,SushiGo,3,GAME_OVER,60,0,2,79,BasicMCTS,46.0,54.0,BasicMCTS,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,BasicMCTS,0
-1377239692,SushiGo,3,GAME_OVER,61,0,2,80,BasicMCTS,43.0,57.0,BasicMCTS,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,BasicMCTS,0
1795532617,SushiGo,3,GAME_OVER,63,0,2,81,BasicMCTS,41.0,59.0,BasicMCTS,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,BasicMCTS,0
-1548656463,SushiGo,3,GAME_OVER,62,0,2,82,BasicMCTS,41.0,50.0,BasicMCTS,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,BasicMCTS,0
-653656736,SushiGo,3,GAME_OVER,61,0,2,83,BasicMCTS,44.0,59.0,BasicMCTS,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,BasicMCTS,0
-400394132,SushiGo,3,GAME_OVER,63,0,2,84,BasicMCTS,40.0,48.0,BasicMCTS,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,BasicMCTS,0
-1422203009,SushiGo,3,GAME_OVER,60,0,2,85,BasicMCTS,54.0,80.0,BasicMCTS,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,BasicMCTS,0
-1113178468,SushiGo,3,GAME_OVER,62,0,2,86,BasicMCTS,49.0,57.0,BasicMCTS,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,BasicMCTS,0
-175367348,SushiGo,3,GAME_OVER,61,0,2,87,BasicMCTS,39.0,55.0,BasicMCTS,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,BasicMCTS,0
1362911089,SushiGo,3,GAME_OVER,63,0,2,88,BasicMCTS,46.0,53.0,BasicMCTS,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,BasicMCTS,0
-347120262,SushiGo,3,GAME_OVER,61,0,2,89,BasicMCTS,54.0,59.0,BasicMCTS,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,BasicMCTS,0
1416514647,SushiGo,3,GAME_OVER,63,0,2,90,BasicMCTS,45.0,75.0,BasicMCTS,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,BasicMCTS,0
-1570736736,SushiGo,3,GAME_OVER,60,0,2,91,BasicMCTS,51.0,64.0,BasicMCTS,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,BasicMCTS,0
-1532681659,SushiGo,3,GAME_OVER,60,0,2,92,BasicMCTS,61.0,68.0,BasicMCTS,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,BasicMCTS,0
2038358424,SushiGo,3,GAME_OVER,62,0,2,93,BasicMCTS,38.0,55.0,BasicMCTS,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,BasicMCTS,0
1950377550,SushiGo,3,GAME_OVER,63,0,2,94,BasicMCTS,46.0,54.0,BasicMCTS,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,BasicMCTS,0
-389679841,SushiGo,3,GAME_OVER,60,0,2,95,BasicMCTS,46.0,60.0,BasicMCTS,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,BasicMCTS,0
-1652369011,SushiGo,3,GAME_OVER,63,0,2,96,BasicMCTS,46.0,63.0,BasicMCTS,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,BasicMCTS,0
649728961,SushiGo,3,GAME_OVER,65,0,2,97,BasicMCTS,66.0,86.0,BasicMCTS,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,BasicMCTS,0
1939385821,SushiGo,3,GAME_OVER,61,0,2,98,BasicMCTS,52.0,65.0,BasicMCTS,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,BasicMCTS,0
-765151654,SushiGo,3,GAME_OVER,60,0,2,99,BasicMCTS,38.0,66.0,BasicMCTS,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,BasicMCTS,0
-382843140,SushiGo,3,GAME_OVER,62,0,2,100,BasicMCTS,37.0,43.0,BasicMCTS,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,BasicMCTS,0
1616233144,SushiGo,3,GAME_OVER,63,0,2,101,BasicMCTS,55.0,56.0,BasicMCTS,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,BasicMCTS,0
